date,spread_return,test_year,selected_horizon,selected_direction
2017-11-13,-0.00678468351796021,2017,10,reversal
2017-11-14,0.012311233520536624,2017,10,reversal
2017-11-15,-0.015117414295442822,2017,10,reversal
2017-11-16,-0.00118431401625928,2017,10,reversal
2017-11-17,-0.003479829065167761,2017,10,reversal
2017-11-20,-0.002186857739341119,2017,10,reversal
2017-11-21,0.006883206160191802,2017,10,reversal
2017-11-22,0.001412822242785239,2017,10,reversal
2017-11-24,-0.0036296623913442795,2017,10,reversal
2017-11-27,0.005224546695086117,2017,10,reversal
2017-11-28,-0.022182768847736577,2017,10,reversal
2017-11-29,0.0054281439527604,2017,10,reversal
2017-11-30,-0.009500706465112896,2017,10,reversal
2017-12-01,-0.05167550904744147,2017,10,reversal
2017-12-04,0.011718963260926842,2017,10,reversal
2017-12-05,0.01687117880325334,2017,10,reversal
2017-12-06,0.007554307329866061,2017,10,reversal
2017-12-07,-0.005508038759094769,2017,10,reversal
2017-12-08,0.009857866582679165,2017,10,reversal
2017-12-11,-0.015031048277398873,2017,10,reversal
2017-12-12,0.015198489974924257,2017,10,reversal
2017-12-13,0.004480284779890587,2017,10,reversal
2017-12-14,0.010152411278786666,2017,10,reversal
2017-12-15,0.008226862815747893,2017,10,reversal
2017-12-18,-0.0011431408204591207,2017,10,reversal
2017-12-19,-0.002470003930307452,2017,10,reversal
2017-12-20,-0.005816942067586494,2017,10,reversal
2017-12-21,-0.002828813760022519,2017,10,reversal
2017-12-22,-0.0033184522007919993,2017,10,reversal
2017-12-26,0.0027225142903642306,2017,10,reversal
2017-12-27,0.00022501273488323426,2017,10,reversal
2017-12-28,-8.867224420051629e-05,2017,10,reversal
2017-12-29,0.00528994879072101,2017,10,reversal
2018-01-02,-0.009539011935094165,2018,10,reversal
2018-01-03,0.0034707702676650687,2018,10,reversal
2018-01-04,-0.004079085041961249,2018,10,reversal
2018-01-05,-0.0027189860867851356,2018,10,reversal
2018-01-08,0.004415816521147874,2018,10,reversal
2018-01-09,-0.002556179002847314,2018,10,reversal
2018-01-10,-0.0015703248257077137,2018,10,reversal
2018-01-11,-0.0023345317732628382,2018,10,reversal
2018-01-12,0.008893557263252572,2018,10,reversal
2018-01-16,-0.002552050379655958,2018,10,reversal
2018-01-17,0.0013735892011356504,2018,10,reversal
2018-01-18,-0.010906354670302775,2018,10,reversal
2018-01-19,-0.0008507661564199917,2018,10,reversal
2018-01-22,0.011022554385349614,2018,10,reversal
2018-01-23,-0.005825355939888677,2018,10,reversal
2018-01-24,-0.0038366465391479034,2018,10,reversal
2018-01-25,-0.014607312330760947,2018,10,reversal
2018-01-26,-0.007834080514746176,2018,10,reversal
2018-01-29,0.010699304392625562,2018,10,reversal
2018-01-30,0.0025298486798126852,2018,10,reversal
2018-01-31,0.011618198378161537,2018,10,reversal
2018-02-01,-0.0018740311722716396,2018,10,reversal
2018-02-02,0.007212808797813532,2018,10,reversal
